date,store_id,product_id,product_name,category,sub_category,region,city,units_sold,revenue,price_per_unit,discount_percentage,marketing_spend,customer_footfall,conversion_rate,holiday_flag,weekend_flag,competitor_price,stock_available,supply_chain_delay_days,weather_index,economic_index
2024-03-12,STR-028,PRD-0289,UrbanStyle Kids 108,Fashion,Kids Clothing,UAE,Ajman,26,15861.61,717.72,15.0,0.0,1032,0.0252,1,0,730.68,26,0,23.1,1.1178
2024-02-15,STR-003,PRD-0117,PureSkin Fragrance 563,Beauty,Fragrance,Qatar,Lusail,35,4685.8,133.88,0.0,0.0,314,0.1115,0,0,134.56,46,1,17.6,1.115
2024-05-24,STR-037,PRD-0266,DailyDelight Snacks 251,Grocery,Snacks,UAE,Sharjah,84,532.14,9.05,30.0,0.0,346,0.2428,0,1,9.85,84,0,37.9,1.1258
2021-03-16,STR-047,PRD-0161,NovaTech Smartphones 508,Electronics,Smartphones,KSA,Riyadh,0,0.0,301.33,5.0,0.0,531,0.0,0,0,325.46,34,0,25.2,0.9593
2024-02-23,STR-028,PRD-0010,ClassicFit Kids 640,Fashion,Kids Clothing,UAE,Ajman,28,3173.52,113.34,0.0,0.0,548,0.0511,0,1,106.24,68,0,19.5,1.1158
2023-07-26,STR-027,PRD-0390,VelvetCare Fragrance 547,Beauty,Fragrance,KSA,Riyadh,19,2827.85,212.62,30.0,0.0,607,0.0313,0,0,210.02,25,0,35.4,1.0926
2021-02-20,STR-039,PRD-0344,TrendWave Footwear 720,Fashion,Footwear,UAE,Abu Dhabi,9,1327.05,147.45,0.0,0.0,1051,0.0086,0,1,167.84,118,0,16.9,0.948
2020-10-20,STR-002,PRD-0260,ClassicFit Accessories 541,Fashion,Accessories,KSA,Riyadh,4,2866.24,716.56,0.0,0.0,277,0.0144,0,0,790.02,99,0,18.8,0.8907
2024-01-29,STR-003,PRD-0162,ProFit Sportswear 532,Sports,Sportswear,Qatar,Lusail,4,2304.84,576.21,0.0,0.0,556,0.0072,0,0,586.48,144,0,15.0,1.1131
2022-06-11,STR-025,PRD-0162,ProFit Sportswear 532,Sports,Sportswear,Oman,Nizwa,33,13310.45,576.21,30.0,0.0,1868,0.0177,1,1,504.99,110,0,37.4,1.0477
